Lake,,,,Rating
,,,,Lake
Elevation,Area,Volume,,Houston
(feet,(acres),(acre-feet),,Source
21.84,1457.15,7002.4,,
21.85,1459.83,7016.98,,
21.86,1462.49,7031.6,,
21.87,1465.2,7046.23,,
21.88,1467.91,7060.9,,
21.89,1470.57,7075.59,,
21.9,1473.23,7090.31,,
21.91,1475.87,7105.06,,
21.92,1478.47,7119.83,,
21.93,1481.05,7134.63,,
21.94,1483.63,7149.45,,
21.95,1486.22,7164.3,,
21.96,1488.83,7179.17,,
21.97,1491.44,7194.07,,
21.98,1494.05,7209,,
21.99,1496.64,7223.95,,
22,1499.2,7238.93,,
22.01,1501.77,7253.94,,
22.02,1504.35,7268.97,,
22.03,1506.93,7284.03,,
22.04,1509.55,7299.11,,
22.05,1512.21,7314.22,,
22.06,1514.74,7329.35,,
22.07,1517.26,7344.51,,
22.08,1519.76,7359.7,,
22.09,1522.26,7374.91,,
22.1,1524.77,7390.14,,
22.11,1527.26,7405.4,,
22.12,1529.76,7420.69,,
22.13,1532.27,7436,,
22.14,1534.79,7451.33,,
22.15,1537.33,7466.69,,
22.16,1539.87,7482.08,,
22.17,1542.42,7497.49,,
22.18,1545.06,7512.93,,
22.19,1547.68,7528.39,,
22.2,1550.31,7543.88,,
22.21,1552.97,7559.4,,
22.22,1555.66,7574.94,,
22.23,1558.34,7590.51,,
22.24,1561.01,7606.11,,
22.25,1563.66,7621.73,,
22.26,1566.32,7637.38,,
22.27,1569.01,7653.06,,
22.28,1571.72,7668.76,,
22.29,1574.42,7684.49,,
22.3,1577.15,7700.25,,
22.31,1579.91,7716.04,,
22.32,1582.71,7731.85,,
22.33,1585.5,7747.69,,
22.34,1588.31,7763.56,,
22.35,1591.16,7779.46,,
22.36,1594.01,7795.38,,
22.37,1596.93,7811.34,,
22.38,1599.9,7827.32,,
22.39,1602.84,7843.33,,
22.4,1605.74,7859.38,,
22.41,1608.65,7875.45,,
22.42,1611.54,7891.55,,
22.43,1614.43,7907.68,,
22.44,1617.32,7923.84,,
22.45,1620.24,7940.03,,
22.46,1623.21,7956.24,,
22.47,1626.2,7972.49,,
22.48,1629.25,7988.77,,
22.49,1632.35,8005.08,,
22.5,1635.53,8021.42,,
22.51,1638.86,8037.79,,
22.52,1642.18,8054.19,,
22.53,1645.6,8070.63,,
22.54,1649.11,8087.11,,
22.55,1652.74,8103.61,,
22.56,1656.22,8120.16,,
22.57,1659.54,8136.74,,
22.58,1663.02,8153.35,,
22.59,1666.61,8170,,
22.6,1670.25,8186.68,,
22.61,1673.87,8203.4,,
22.62,1677.55,8220.16,,
22.63,1681.3,8236.95,,
22.64,1685,8253.79,,
22.65,1688.63,8270.65,,
22.66,1692.26,8287.56,,
22.67,1696.03,8304.5,,
22.68,1699.83,8321.48,,
22.69,1703.58,8338.5,,
22.7,1707.32,8355.55,,
22.71,1711.08,8372.64,,
22.72,1714.88,8389.77,,
22.73,1718.64,8406.94,,
22.74,1722.41,8424.15,,
22.75,1726.12,8441.39,,
22.76,1729.81,8458.67,,
22.77,1733.51,8475.99,,
22.78,1737.17,8493.34,,
22.79,1740.77,8510.73,,
22.8,1744.35,8528.15,,
22.81,1747.92,8545.61,,
22.82,1751.52,8563.11,,
22.83,1755.12,8580.64,,
22.84,1758.76,8598.21,,
22.85,1762.4,8615.82,,
22.86,1765.99,8633.46,,
22.87,1769.55,8651.14,,
22.88,1773.13,8668.85,,
